strain	originating_lab	submitting_lab	author
A/dairycow/USA/24015041004/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Ohio/B24OSU368/2024	St. Jude Children's Research Hospital, Host Microbe Interactions		Fabrizio,T.P., Kieffer,J.D., Jeevan,T., Franks,J., DeBeauchamp,J., Lowe,J.F., Bowman,A.S. and Webby,R.J.
A/dairycattle/Ohio/24009586003/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center		Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/dairycow/Ohio/24010202004/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Ohio/OH2487005/2024	Ohio Animal Disease Diagnostic Laboratory		Perkins,J., Shiplett,K., Johnson,A. and Prarat,M.
A/dairycow/Ohio/OH2487007/2024	Ohio Animal Disease Diagnostic Laboratory		Perkins,J., Shiplett,K., Johnson,A. and Prarat,M.
A/dairycattle/Ohio/24009586006/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center		Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/dairycattle/Ohio/24009586007/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center		Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/dairycattle/Ohio/24009586009/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center		Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/dairycow/Ohio/B2408700PBS5/2024	Ohio Animal Disease Diagnostic Laboratory	Cornell University	?
A/dairycow/Ohio/B2408700PBS9/2024	Ohio Animal Disease Diagnostic Laboratory	Cornell University	?
A/dairycow/Ohio/B2408700PBS7/2024	Ohio Animal Disease Diagnostic Laboratory	Cornell University	?
A/dairycow/Ohio/24010202013/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Ohio/B24OSU358/2024	St. Jude Children's Research Hospital, Host Microbe Interactions	St. Jude Children's Research Hospital, Host Microbe Interactions	Fabrizio,T.P., Kieffer,J.D., Franks,J., Jeevan,T., Kandeil,A., Walker,D., DeBeauchamp,J., Lowe,J.F., Bowman,A.S.; Webby,R.J.
A/redfox/NewMexico/24014026001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/chicken/Michigan/24013788002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Michigan/24013999001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/alpaca/Idaho/24014328008/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/alpaca/Idaho/24014328011/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/chicken/Iowa/24015328002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/chicken/Iowa/24015328001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/raccoon/Iowa/24019376001R2/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/sparrow/Iowa/24018880002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/americanrobin/Iowa/24018880001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Iowa/24016252005/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Iowa/24016252006/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/sparrow/Iowa/24019375001R2/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/domesticcat/Texas/0622222413/2024	Cornell University	Cornell University	?
A/dairycow/Ohio/B2408700PBS6/2024	Ohio Animal Disease Diagnostic Laboratory	Cornell University	?
A/dairycow/Ohio/B2408700NS/2024	Ohio Animal Disease Diagnostic Laboratory	Cornell University	?
A/dairycow/Ohio/B2408700PBS10/2024	Ohio Animal Disease Diagnostic Laboratory	Cornell University	?
A/raccoon/USA/24011659002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Idaho/24012341022/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Thao-Quyen Nguyen, Carl Hutter, Alexey Markin, Megan Thomas, Kristina Lantz, Mary Lea Killian, Garrett M. Janzen, Sriram Vijendran, Sanket Wagle, Blake Inderski, Drew R. Magstadt, Ganwu Li, Diego G. Die, Elisha Anna Frye, Kiril M. Dimitrov, Amy K. Swinford, Alexis C. Thompson, Kevin R. Snevik, David L. Suarez, Erica Spackman, Steven M. Lakin, Sara C.Ahola, Kammy R. Johnson, Amy L. Baker, Suelee Robbe-Austerman, Mia Kim Torchetti, Tavis K. Anderson
A/redfox/Michigan/24013016004/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
