strain	originating_lab	submitting_lab	author
A/dairycow/Idaho/24013170012/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Thao-Quyen Nguyen, Carl Hutter, Alexey Markin, Megan Thomas, Kristina Lantz, Mary Lea Killian, Garrett M. Janzen, Sriram Vijendran, Sanket Wagle, Blake Inderski, Drew R. Magstadt, Ganwu Li, Diego G. Die, Elisha Anna Frye, Kiril M. Dimitrov, Amy K. Swinford, Alexis C. Thompson, Kevin R. Snevik, David L. Suarez, Erica Spackman, Steven M. Lakin, Sara C.Ahola, Kammy R. Johnson, Amy L. Baker, Suelee Robbe-Austerman, Mia Kim Torchetti, Tavis K. Anderson
A/dairycow/Idaho/24014338009/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/swine/Kansas/ExpPig52OP1DPI/2024	University Of Wisconsin, School Of Veterinary Medicine, Pathobiological Sciences		Kwon,T., Trujillo,J.D., Carossino,M., Machkovech,H.M., Cool,K., Lim Lyoo,E., Singh,G., Kafle,S., Elango,S., Govindsamy,G., Wei,W., Minor,N., Matias-Ferreyra,F.S., Morozov,I., Gaudreault,N., Balasuriya,U.B.R., Hensley,L., Diel,D.G., Ma,W., Friedrich,T.C. and Richt,J.A.
A/macaque/Montana/51LUL/2024	National Institute Of Allergy And Infectious Diseases Niaid/nih		Yinda,C.K., Rosenke,K., Griffin,A., Kaiser,F., Altynova,E., Mukesh,R., Flagg,M., Tipih,T., Goldin,K., Wickenhagen,A., Williamson,B., Gallogy,S., Leventhal,S., Lutterman,T., Okumura,A., Lewis,M., Rao,D., Smith,B., Shaia,C., Saturday,G., Hanley,P., van Doremalen,N., de Wit,E., Munster,V.J. and Feldmann,H.
A/macaque/Montana/55RLL/2024	National Institute Of Allergy And Infectious Diseases Niaid/nih		Yinda,C.K., Rosenke,K., Griffin,A., Kaiser,F., Altynova,E., Mukesh,R., Flagg,M., Tipih,T., Goldin,K., Wickenhagen,A., Williamson,B., Gallogy,S., Leventhal,S., Lutterman,T., Okumura,A., Lewis,M., Rao,D., Smith,B., Shaia,C., Saturday,G., Hanley,P., van Doremalen,N., de Wit,E., Munster,V.J. and Feldmann,H.
A/macaque/Montana/59RML/2024	National Institute Of Allergy And Infectious Diseases Niaid/nih		Yinda,C.K., Rosenke,K., Griffin,A., Kaiser,F., Altynova,E., Mukesh,R., Flagg,M., Tipih,T., Goldin,K., Wickenhagen,A., Williamson,B., Gallogy,S., Leventhal,S., Lutterman,T., Okumura,A., Lewis,M., Rao,D., Smith,B., Shaia,C., Saturday,G., Hanley,P., van Doremalen,N., de Wit,E., Munster,V.J. and Feldmann,H.
A/macaque/Montana/60LLL/2024	National Institute Of Allergy And Infectious Diseases Niaid/nih		Yinda,C.K., Rosenke,K., Griffin,A., Kaiser,F., Altynova,E., Mukesh,R., Flagg,M., Tipih,T., Goldin,K., Wickenhagen,A., Williamson,B., Gallogy,S., Leventhal,S., Lutterman,T., Okumura,A., Lewis,M., Rao,D., Smith,B., Shaia,C., Saturday,G., Hanley,P., van Doremalen,N., de Wit,E., Munster,V.J. and Feldmann,H.
A/macaque/Montana/51LML/2024	National Institute Of Allergy And Infectious Diseases Niaid/nih		Yinda,C.K., Rosenke,K., Griffin,A., Kaiser,F., Altynova,E., Mukesh,R., Flagg,M., Tipih,T., Goldin,K., Wickenhagen,A., Williamson,B., Gallogy,S., Leventhal,S., Lutterman,T., Okumura,A., Lewis,M., Rao,D., Smith,B., Shaia,C., Saturday,G., Hanley,P., van Doremalen,N., de Wit,E., Munster,V.J. and Feldmann,H.
A/macaque/Montana/59LML/2024	National Institute Of Allergy And Infectious Diseases Niaid/nih		Yinda,C.K., Rosenke,K., Griffin,A., Kaiser,F., Altynova,E., Mukesh,R., Flagg,M., Tipih,T., Goldin,K., Wickenhagen,A., Williamson,B., Gallogy,S., Leventhal,S., Lutterman,T., Okumura,A., Lewis,M., Rao,D., Smith,B., Shaia,C., Saturday,G., Hanley,P., van Doremalen,N., de Wit,E., Munster,V.J. and Feldmann,H.
A/macaque/Montana/58RLL/2024	National Institute Of Allergy And Infectious Diseases Niaid/nih		Yinda,C.K., Rosenke,K., Griffin,A., Kaiser,F., Altynova,E., Mukesh,R., Flagg,M., Tipih,T., Goldin,K., Wickenhagen,A., Williamson,B., Gallogy,S., Leventhal,S., Lutterman,T., Okumura,A., Lewis,M., Rao,D., Smith,B., Shaia,C., Saturday,G., Hanley,P., van Doremalen,N., de Wit,E., Munster,V.J. and Feldmann,H.
A/dairycow/Colorado/24020940002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/Colorado/137/2024	Colorado Department Of Health Lab	Centers For Disease Control And Prevention	Davis, Todd; Kondor, Becky; Steel, John; Kirby, Marie; Sheffield, Sydney; Liddell, Jimma; Frederick, Julia; Di, Han; Pusch, Elizabeth; Lacek, Kristine; Barnes, John; Matzinger, Shannon R.
A/dairycow/Colorado/24019691014/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24020284005/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24023569001R2/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24022861001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/Colorado/134/2024	Colorado Department Of Health Lab	Centers For Disease Control And Prevention	Davis, Todd;  Kondor, Becky;  Steel, John;  Kirby, Marie;  Sheffield, Sydney;  Liddell, Jimma;  Frederick, Julia;  Di, Han;  Pusch, Elizabeth;  Lacek, Kristine;  Barnes, John; Matzinger, Shannon R.
A/Colorado/138/2024	Colorado Department Of Health Lab	Centers For Disease Control And Prevention	Davis, Todd; Kondor, Becky; Steel, John; Kirby, Marie; Sheffield, Sydney; Liddell, Jimma; Frederick, Julia; Di, Han; Pusch, Elizabeth; Lacek, Kristine; Barnes, John; Matzinger, Shannon R.
A/dairycow/Colorado/24022159003/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24021340004/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24022848002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24012225029/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/raccoon/Colorado/24014781001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/COMilk/2024	Colorado State University		Marano,J.M., Bosco-Lauth,A.M. and Pabilonia,K.
A/dairycow/SouthDakota/24015059001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L. and Kris,L.
A/dairycow/SouthDakota/24015059002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L. and Kris,L.
A/dairycow/Minnesota/24016523001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Minnesota/24016523002/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycattle/Kansas/5/2024	Kansas State University, College Of Veterinary Medicine, Diagnostic Medicine/pathobiology		Singh,G., Trujillo,J.D., Mcdowell,C., Fitz,I., Noll,L., Gaudreault,N., Retallick,J.; Richt,J.
A/chicken/Kansas/24010482001/2024	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	United States Department Of Agriculture, Agricultural Research Service, National Animal Disease Center	Nguyen,T., Hutter,C., Markin,A., Thomas,M., Lantz,K., Killian,M.L., Janzen,G.M., Vijendran,S., Wagle,S., Inderski,B., Magstadt,D.R., Li,G., Diel,D.G., Frye,E.A., Dimitrov,K.M., Swinford,A.K., Thompson,A.C., Snevik,K.R., Suarez,D.L., Spackman,E., Lakin,S.M., C,S., Johnson,K.R., Baker,A.L., Robbe-Austerman,S., Torchetti,M.K.; Anderson,T.K.
A/dairycow/Colorado/24020510001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/cat/Colorado/24020794001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24023564001R2/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24020176006/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
A/dairycow/Colorado/24020176001/2024	Usda, Aphis, Veterinary Services, Diagnostic Virology Laboratory, National Veterinary Services Laboratories		Aufderhar,M., Franzen,K., Killian,M., Lantz,K., Stuber,T., Hicks,J., Norris,C. and Lakin,S.
